"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2024","120.25","120.78","121.16","120.12","374.45K","-0.41%"
"03/12/2024","120.75","121.59","121.84","120.50","433.88K","-0.54%"
"03/11/2024","121.41","121.59","122.09","121.25","325.67K","-0.20%"
"03/09/2024","121.66","121.66","121.66","121.66","","0.13%"
"03/08/2024","121.50","121.75","122.28","121.06","398.96K","-0.18%"
"03/07/2024","121.72","121.59","122.41","121.25","486.82K","0.11%"
"03/06/2024","121.59","120.62","121.72","120.28","523.10K","0.62%"
"03/05/2024","120.84","119.66","121.28","119.50","440.93K","1.05%"
"03/04/2024","119.59","119.94","120.00","119.16","278.39K","-0.37%"
"03/01/2024","120.03","119.09","120.06","118.47","545.80K","0.65%"
"02/29/2024","119.25","118.84","119.53","118.19","774.24K","0.42%"
"02/28/2024","118.75","118.44","118.94","118.25","442.51K","0.37%"
"02/27/2024","118.31","118.97","119.28","118.19","589.94K","-0.24%"
"02/26/2024","118.59","119.09","119.69","118.34","1.05M","-0.48%"
"02/24/2024","119.16","119.16","119.16","119.16","","0.08%"
"02/23/2024","119.06","118.12","119.25","117.78","854.31K","0.85%"
"02/22/2024","118.06","117.88","118.28","117.34","849.52K","0.29%"
"02/21/2024","117.72","118.38","118.69","117.62","514.29K","-0.50%"
"02/20/2024","118.31","118.34","118.75","117.69","380.37K","0.42%"
"02/19/2024","117.81","118.28","118.44","117.69","50.56K","-0.40%"
"02/18/2024","118.28","118.41","118.41","118.22","1.87K","-0.11%"
"02/17/2024","118.41","118.41","118.41","118.41","","0.16%"
"02/16/2024","118.22","119.06","119.06","117.84","354.47K","-0.56%"
"02/15/2024","118.88","118.62","119.62","118.56","390.90K","0.30%"
"02/14/2024","118.53","118.09","118.81","117.81","438.85K","0.47%"
"02/13/2024","117.97","119.72","120.88","117.94","494.07K","-1.56%"
"02/12/2024","119.84","119.75","120.12","119.41","240.15K","0.18%"
"02/09/2024","119.62","120.06","120.44","119.47","312.68K","-0.06%"
"02/08/2024","119.69","120.69","120.88","119.62","401.26K","-0.95%"
"02/07/2024","120.84","120.88","121.31","120.38","402.50K","-0.13%"
"02/06/2024","121.00","120.19","121.19","120.00","399.52K","0.73%"
"02/05/2024","120.12","121.94","121.97","119.94","502.87K","-1.54%"
"02/03/2024","122.00","122.00","122.00","122.00","","0.07%"
